open_time,open,high,low,close,volume
2024-07-17 14:00:00,2483.03,2483.69,2461.15,2463.74,17333.0
2024-07-17 15:00:00,2463.74,2465.98,2458.04,2463.54,14264.0
2024-07-17 16:00:00,2463.54,2465.11,2452.86,2455.67,11106.0
2024-07-17 17:00:00,2455.67,2459.34,2451.94,2452.64,9216.0
2024-07-17 18:00:00,2452.58,2458.22,2451.58,2458.03,5516.0
2024-07-17 19:00:00,2458.04,2460.42,2457.11,2458.08,5369.0
2024-07-17 20:00:00,2458.1,2459.46,2457.29,2458.66,2503.0
2024-07-17 22:00:00,2458.66,2459.89,2458.05,2459.27,1997.0
2024-07-17 23:00:00,2459.27,2461.91,2459.17,2461.39,3277.0
2024-07-18 00:00:00,2461.4,2461.55,2457.41,2458.92,4829.0
2024-07-18 01:00:00,2458.92,2464.14,2457.64,2462.49,8578.0
2024-07-18 02:00:00,2462.45,2466.05,2460.38,2465.65,6242.0
2024-07-18 03:00:00,2465.65,2469.03,2465.29,2468.05,5816.0
2024-07-18 04:00:00,2468.06,2468.28,2465.14,2465.31,4349.0
2024-07-18 05:00:00,2465.33,2469.95,2464.98,2466.96,6498.0
2024-07-18 06:00:00,2466.96,2472.17,2464.65,2471.53,8894.0
2024-07-18 07:00:00,2471.52,2474.94,2470.84,2471.97,7938.0
2024-07-18 08:00:00,2471.97,2473.72,2465.64,2466.03,7642.0
2024-07-18 09:00:00,2466.03,2467.71,2464.76,2465.73,6449.0
2024-07-18 10:00:00,2465.68,2466.38,2461.56,2464.21,6848.0
2024-07-18 11:00:00,2464.22,2466.37,2462.22,2464.53,6767.0
2024-07-18 12:00:00,2464.53,2468.9,2462.65,2464.06,10788.0
2024-07-18 13:00:00,2464.06,2466.28,2457.67,2465.1,15101.0
2024-07-18 14:00:00,2465.12,2469.91,2460.18,2468.47,13975.0
2024-07-18 15:00:00,2468.48,2469.1,2461.23,2461.31,12103.0
2024-07-18 16:00:00,2461.34,2462.13,2455.89,2456.23,9412.0
2024-07-18 17:00:00,2456.23,2457.58,2451.8,2456.36,8439.0
2024-07-18 18:00:00,2456.36,2456.57,2450.89,2451.51,6236.0
2024-07-18 19:00:00,2451.53,2451.82,2440.38,2442.97,8881.0
2024-07-18 20:00:00,2443.01,2445.51,2441.37,2445.08,3195.0
2024-07-18 22:00:00,2445.41,2445.86,2443.69,2444.42,1518.0
2024-07-18 23:00:00,2444.42,2445.27,2441.29,2441.29,1723.0
2024-07-19 00:00:00,2441.29,2441.37,2426.27,2434.39,8262.0
2024-07-19 01:00:00,2434.44,2434.69,2420.46,2426.22,11545.0
2024-07-19 02:00:00,2426.22,2428.75,2422.67,2428.42,8006.0
2024-07-19 03:00:00,2428.41,2429.56,2425.05,2428.8,5866.0
2024-07-19 04:00:00,2428.8,2429.32,2424.05,2425.55,3489.0
2024-07-19 05:00:00,2425.55,2426.19,2421.15,2423.37,6702.0
2024-07-19 06:00:00,2423.37,2424.04,2414.37,2420.02,11690.0
2024-07-19 07:00:00,2420.05,2422.24,2412.97,2418.26,9511.0
2024-07-19 08:00:00,2418.28,2421.7,2416.39,2420.5,8634.0
2024-07-19 09:00:00,2420.49,2421.14,2414.9,2416.19,7037.0
2024-07-19 10:00:00,2416.19,2416.37,2410.75,2412.53,7859.0
2024-07-19 11:00:00,2412.53,2414.4,2408.54,2410.09,7933.0
2024-07-19 12:00:00,2410.09,2410.21,2401.62,2403.78,11736.0
2024-07-19 13:00:00,2403.79,2406.69,2393.86,2403.88,15534.0
2024-07-19 14:00:00,2403.89,2404.76,2396.11,2398.1,14168.0
2024-07-19 15:00:00,2398.07,2408.49,2397.93,2405.45,11087.0
2024-07-19 16:00:00,2405.45,2406.02,2399.43,2399.68,7175.0
2024-07-19 17:00:00,2399.71,2400.84,2395.69,2399.2,7611.0
2024-07-19 18:00:00,2399.18,2400.38,2397.22,2398.65,5459.0
2024-07-19 19:00:00,2398.65,2400.16,2397.16,2398.7,4850.0
2024-07-19 20:00:00,2398.81,2400.56,2397.82,2400.3,2288.0
2024-07-21 22:00:00,2401.86,2411.7,2400.64,2411.37,3448.0
2024-07-21 23:00:00,2411.34,2412.03,2409.3,2411.59,3375.0
2024-07-22 00:00:00,2411.6,2411.71,2406.92,2407.9,4671.0
2024-07-22 01:00:00,2407.9,2412.17,2405.75,2406.45,9758.0
2024-07-22 02:00:00,2406.46,2408.25,2403.39,2406.56,7706.0
2024-07-22 03:00:00,2406.59,2409.56,2405.89,2406.82,4630.0
2024-07-22 04:00:00,2406.86,2407.19,2403.28,2405.63,3627.0
2024-07-22 05:00:00,2405.63,2407.39,2402.98,2402.98,6531.0
2024-07-22 06:00:00,2402.98,2405.32,2399.01,2402.42,11451.0
2024-07-22 07:00:00,2402.55,2404.64,2399.77,2402.58,8686.0
2024-07-22 08:00:00,2402.59,2404.73,2399.88,2400.9,6893.0
2024-07-22 09:00:00,2400.9,2405.77,2399.89,2404.51,6048.0
2024-07-22 10:00:00,2404.51,2408.43,2403.73,2406.9,6363.0
2024-07-22 11:00:00,2406.9,2407.64,2398.07,2398.07,6860.0
2024-07-22 12:00:00,2398.08,2399.61,2388.85,2394.35,11307.0
2024-07-22 13:00:00,2394.31,2400.19,2391.47,2392.78,13826.0
2024-07-22 14:00:00,2392.77,2394.87,2383.92,2387.26,12864.0
2024-07-22 15:00:00,2387.26,2390.53,2384.32,2386.32,10891.0
2024-07-22 16:00:00,2386.32,2393.34,2386.14,2393.08,7476.0
2024-07-22 17:00:00,2393.1,2396.4,2391.82,2394.07,6205.0
2024-07-22 18:00:00,2394.08,2396.48,2392.53,2395.75,4546.0
2024-07-22 19:00:00,2395.76,2400.08,2395.23,2399.06,4038.0
2024-07-22 20:00:00,2399.05,2399.49,2395.78,2396.35,2092.0
2024-07-22 22:00:00,2396.23,2398.1,2395.2,2395.23,1325.0
2024-07-22 23:00:00,2395.23,2396.22,2394.81,2395.76,1608.0
2024-07-23 00:00:00,2395.76,2400.3,2395.54,2399.95,4097.0
2024-07-23 01:00:00,2399.99,2404.02,2397.9,2401.12,9309.0
2024-07-23 02:00:00,2401.11,2402.46,2397.6,2399.68,6581.0
2024-07-23 03:00:00,2399.69,2400.79,2396.2,2398.38,6249.0
