open_time,open,high,low,close,volume
2024-06-21 18:30:00,201.429,201.567,201.348,201.506,2366.0
2024-06-21 18:45:00,201.508,201.594,201.455,201.589,2155.0
2024-06-21 19:00:00,201.589,201.593,201.487,201.49,2004.0
2024-06-21 19:15:00,201.488,201.58,201.465,201.545,2130.0
2024-06-21 19:30:00,201.543,201.639,201.534,201.632,1775.0
2024-06-21 19:45:00,201.633,201.649,201.56,201.567,1767.0
2024-06-21 20:00:00,201.565,201.628,201.532,201.595,1488.0
2024-06-21 20:15:00,201.593,201.666,201.586,201.658,1225.0
2024-06-21 20:30:00,201.657,201.694,201.59,201.646,1513.0
2024-06-21 20:45:00,201.645,201.769,201.645,201.731,1537.0
2024-06-24 00:00:00,201.862,201.956,201.82,201.948,156.0
2024-06-24 00:15:00,201.947,201.963,201.815,201.854,259.0
2024-06-24 00:30:00,201.853,201.924,201.773,201.79,719.0
2024-06-24 00:45:00,201.79,201.863,201.693,201.799,531.0
2024-06-24 01:00:00,201.799,201.951,201.749,201.932,832.0
2024-06-24 01:15:00,201.934,201.987,201.911,201.985,1108.0
2024-06-24 01:30:00,201.986,202.012,201.919,201.988,794.0
2024-06-24 01:45:00,201.987,202.002,201.883,201.944,812.0
2024-06-24 02:00:00,201.944,202.026,201.904,202.01,1047.0
2024-06-24 02:15:00,202.01,202.047,201.993,202.012,997.0
2024-06-24 02:30:00,202.011,202.093,202.006,202.046,884.0
2024-06-24 02:45:00,202.047,202.097,202.0,202.082,1182.0
2024-06-24 03:00:00,202.08,202.112,201.942,202.069,1856.0
2024-06-24 03:15:00,202.07,202.119,202.06,202.09,1410.0
2024-06-24 03:30:00,202.089,202.16,202.086,202.105,1158.0
2024-06-24 03:45:00,202.106,202.109,201.98,201.985,2095.0
2024-06-24 04:00:00,201.984,201.987,201.782,201.831,2181.0
2024-06-24 04:15:00,201.83,201.943,201.724,201.896,2582.0
2024-06-24 04:30:00,201.897,201.908,201.777,201.843,1819.0
2024-06-24 04:45:00,201.843,201.855,201.729,201.806,1741.0
2024-06-24 05:00:00,201.807,201.834,201.724,201.735,1525.0
2024-06-24 05:15:00,201.736,201.824,201.734,201.808,1280.0
2024-06-24 05:30:00,201.807,201.853,201.765,201.774,1332.0
2024-06-24 05:45:00,201.774,201.857,201.76,201.844,1235.0
2024-06-24 06:00:00,201.843,201.923,201.839,201.905,1278.0
2024-06-24 06:15:00,201.905,201.927,201.802,201.853,1203.0
2024-06-24 06:30:00,201.854,201.885,201.849,201.868,1316.0
2024-06-24 06:45:00,201.866,201.9,201.832,201.893,779.0
2024-06-24 07:00:00,201.894,201.943,201.891,201.942,872.0
2024-06-24 07:15:00,201.941,202.0,201.937,201.969,1251.0
2024-06-24 07:30:00,201.97,202.009,201.91,201.912,1268.0
2024-06-24 07:45:00,201.912,202.013,201.909,202.013,1010.0
2024-06-24 08:00:00,202.011,202.101,202.011,202.06,1458.0
2024-06-24 08:15:00,202.059,202.059,202.021,202.046,924.0
2024-06-24 08:30:00,202.047,202.107,202.046,202.056,1356.0
2024-06-24 08:45:00,202.058,202.076,201.984,202.007,1641.0
2024-06-24 09:00:00,202.007,202.049,201.949,202.039,2201.0
2024-06-24 09:15:00,202.04,202.106,202.018,202.09,1976.0
2024-06-24 09:30:00,202.09,202.115,202.01,202.022,1510.0
2024-06-24 09:45:00,202.023,202.048,201.944,202.006,1696.0
2024-06-24 10:00:00,202.003,202.086,201.963,201.981,2265.0
2024-06-24 10:15:00,201.982,202.047,201.945,202.014,2196.0
2024-06-24 10:30:00,202.015,202.111,201.964,202.078,1939.0
2024-06-24 10:45:00,202.078,202.102,202.041,202.077,1514.0
2024-06-24 11:00:00,202.076,202.219,202.049,202.203,2131.0
2024-06-24 11:15:00,202.204,202.336,202.193,202.263,1827.0
2024-06-24 11:30:00,202.263,202.298,202.162,202.298,1716.0
2024-06-24 11:45:00,202.294,202.317,202.24,202.256,1784.0
2024-06-24 12:00:00,202.254,202.29,202.112,202.146,2059.0
2024-06-24 12:15:00,202.146,202.181,202.027,202.13,2329.0
2024-06-24 12:30:00,202.131,202.247,202.131,202.187,2466.0
2024-06-24 12:45:00,202.184,202.253,202.165,202.253,2359.0
2024-06-24 13:00:00,202.254,202.26,201.115,201.814,4250.0
2024-06-24 13:15:00,201.813,202.016,201.778,202.015,3753.0
2024-06-24 13:30:00,202.012,202.084,201.907,202.079,3132.0
2024-06-24 13:45:00,202.078,202.086,201.925,201.996,2426.0
2024-06-24 14:00:00,201.996,202.03,201.948,202.019,2425.0
2024-06-24 14:15:00,202.019,202.025,201.957,201.997,1971.0
2024-06-24 14:30:00,201.995,202.021,201.943,201.969,1870.0
2024-06-24 14:45:00,201.968,201.973,201.773,201.932,2294.0
2024-06-24 15:00:00,201.933,202.049,201.914,202.002,2580.0
2024-06-24 15:15:00,202.001,202.031,201.933,202.031,2065.0
2024-06-24 15:30:00,202.029,202.09,201.921,201.927,2131.0
2024-06-24 15:45:00,201.928,201.969,201.831,201.875,2590.0
2024-06-24 16:00:00,201.878,202.006,201.865,201.98,2405.0
2024-06-24 16:15:00,201.981,202.072,201.934,202.017,2684.0
2024-06-24 16:30:00,202.016,202.281,202.014,202.259,3238.0
2024-06-24 16:45:00,202.253,202.348,202.183,202.307,3364.0
2024-06-24 17:00:00,202.306,202.454,202.268,202.403,3206.0
2024-06-24 17:15:00,202.402,202.535,202.384,202.446,2644.0
2024-06-24 17:30:00,202.445,202.646,202.441,202.602,2485.0
2024-06-24 17:45:00,202.601,202.673,202.528,202.648,3386.0
2024-06-24 18:00:00,202.648,202.67,202.572,202.592,2354.0
2024-06-24 18:15:00,202.592,202.698,202.59,202.673,1890.0
2024-06-24 18:30:00,202.672,202.703,202.597,202.623,2000.0
2024-06-24 18:45:00,202.624,202.624,202.53,202.543,1714.0
2024-06-24 19:00:00,202.543,202.57,202.48,202.519,1734.0
2024-06-24 19:15:00,202.52,202.54,202.44,202.46,1451.0
2024-06-24 19:30:00,202.461,202.583,202.439,202.564,1255.0
2024-06-24 19:45:00,202.565,202.583,202.518,202.528,1437.0
2024-06-24 20:00:00,202.528,202.528,202.386,202.394,1606.0
2024-06-24 20:15:00,202.394,202.444,202.389,202.411,1555.0
2024-06-24 20:30:00,202.41,202.479,202.397,202.452,1950.0
2024-06-24 20:45:00,202.452,202.51,202.416,202.494,1522.0
2024-06-24 21:00:00,202.495,202.496,202.444,202.458,1796.0
2024-06-24 21:15:00,202.457,202.503,202.435,202.495,1786.0
2024-06-24 21:30:00,202.496,202.525,202.457,202.485,1336.0
2024-06-24 21:45:00,202.485,202.612,202.473,202.593,1690.0
2024-06-24 22:00:00,202.596,202.696,202.581,202.599,1964.0
2024-06-24 22:15:00,202.6,202.612,202.564,202.595,1082.0
2024-06-24 22:30:00,202.594,202.628,202.567,202.586,1339.0
2024-06-24 22:45:00,202.587,202.593,202.513,202.519,1622.0
2024-06-24 23:00:00,202.519,202.562,202.474,202.556,1235.0
2024-06-24 23:15:00,202.555,202.557,202.462,202.466,478.0
2024-06-24 23:30:00,202.465,202.479,202.396,202.471,618.0
2024-06-24 23:45:00,202.471,202.494,202.42,202.491,483.0
2024-06-25 00:00:00,202.424,202.463,202.4,202.418,200.0
2024-06-25 00:15:00,202.417,202.46,202.412,202.43,254.0
2024-06-25 00:30:00,202.429,202.476,202.402,202.402,426.0
2024-06-25 00:45:00,202.402,202.502,202.402,202.428,1015.0
2024-06-25 01:00:00,202.431,202.503,202.404,202.427,1218.0
2024-06-25 01:15:00,202.426,202.507,202.426,202.475,990.0
2024-06-25 01:30:00,202.476,202.484,202.418,202.446,631.0
2024-06-25 01:45:00,202.447,202.478,202.434,202.459,462.0
2024-06-25 02:00:00,202.459,202.501,202.435,202.477,835.0
2024-06-25 02:15:00,202.477,202.51,202.472,202.484,654.0
2024-06-25 02:30:00,202.485,202.507,202.445,202.45,867.0
2024-06-25 02:45:00,202.451,202.533,202.414,202.532,1022.0
2024-06-25 03:00:00,202.531,202.548,202.446,202.499,1876.0
2024-06-25 03:15:00,202.5,202.561,202.477,202.509,1753.0
2024-06-25 03:30:00,202.508,202.508,202.448,202.465,1363.0
2024-06-25 03:45:00,202.467,202.473,202.147,202.21,2599.0
2024-06-25 04:00:00,202.209,202.275,201.96,202.148,3242.0
2024-06-25 04:15:00,202.148,202.277,202.146,202.24,2290.0
2024-06-25 04:30:00,202.241,202.318,202.231,202.298,2309.0
2024-06-25 04:45:00,202.298,202.344,202.213,202.22,1975.0
2024-06-25 05:00:00,202.22,202.259,202.161,202.246,1531.0
2024-06-25 05:15:00,202.247,202.31,202.227,202.245,1245.0
2024-06-25 05:30:00,202.245,202.252,202.174,202.195,1522.0
2024-06-25 05:45:00,202.195,202.238,202.173,202.179,1246.0
2024-06-25 06:00:00,202.179,202.315,202.179,202.304,1203.0
2024-06-25 06:15:00,202.304,202.315,202.251,202.307,934.0
2024-06-25 06:30:00,202.306,202.412,202.303,202.41,1364.0
2024-06-25 06:45:00,202.41,202.493,202.387,202.484,916.0
2024-06-25 07:00:00,202.485,202.51,202.402,202.405,1020.0
2024-06-25 07:15:00,202.403,202.417,202.359,202.389,1121.0
2024-06-25 07:30:00,202.388,202.437,202.33,202.374,1393.0
2024-06-25 07:45:00,202.373,202.401,202.364,202.389,992.0
2024-06-25 08:00:00,202.388,202.411,202.323,202.331,998.0
2024-06-25 08:15:00,202.331,202.379,202.287,202.292,1166.0
2024-06-25 08:30:00,202.291,202.377,202.254,202.359,1918.0
2024-06-25 08:45:00,202.359,202.403,202.311,202.395,1265.0
2024-06-25 09:00:00,202.395,202.395,202.255,202.307,2055.0
2024-06-25 09:15:00,202.306,202.36,202.285,202.356,1211.0
2024-06-25 09:30:00,202.357,202.38,202.266,202.297,1423.0
2024-06-25 09:45:00,202.298,202.359,202.241,202.35,2108.0
2024-06-25 10:00:00,202.357,202.43,202.295,202.297,2267.0
2024-06-25 10:15:00,202.296,202.392,202.223,202.322,2394.0
2024-06-25 10:30:00,202.321,202.401,202.272,202.286,2399.0
2024-06-25 10:45:00,202.285,202.425,202.23,202.373,2100.0
2024-06-25 11:00:00,202.374,202.507,202.356,202.487,2432.0
2024-06-25 11:15:00,202.489,202.539,202.423,202.506,1784.0
2024-06-25 11:30:00,202.505,202.594,202.466,202.475,1815.0
2024-06-25 11:45:00,202.474,202.575,202.452,202.554,1735.0
2024-06-25 12:00:00,202.553,202.615,202.394,202.413,1625.0
2024-06-25 12:15:00,202.414,202.461,202.387,202.397,1482.0
2024-06-25 12:30:00,202.396,202.471,202.387,202.429,1513.0
2024-06-25 12:45:00,202.429,202.434,202.317,202.341,1622.0
2024-06-25 13:00:00,202.342,202.342,202.156,202.192,2579.0
2024-06-25 13:15:00,202.193,202.278,202.171,202.263,1923.0
2024-06-25 13:30:00,202.264,202.276,202.175,202.269,1554.0
2024-06-25 13:45:00,202.268,202.383,202.243,202.296,1793.0
2024-06-25 14:00:00,202.294,202.406,202.252,202.392,1577.0
2024-06-25 14:15:00,202.393,202.393,202.287,202.321,1345.0
2024-06-25 14:30:00,202.319,202.319,202.132,202.139,1984.0
2024-06-25 14:45:00,202.139,202.247,202.131,202.235,1978.0
2024-06-25 15:00:00,202.237,202.285,202.195,202.284,1917.0
2024-06-25 15:15:00,202.283,202.303,202.212,202.223,1669.0
2024-06-25 15:30:00,202.222,202.412,202.216,202.373,2852.0
2024-06-25 15:45:00,202.374,202.465,202.332,202.456,2189.0
2024-06-25 16:00:00,202.457,202.483,202.374,202.386,2481.0
2024-06-25 16:15:00,202.381,202.552,202.357,202.493,2405.0
2024-06-25 16:30:00,202.493,202.493,202.379,202.461,3331.0
2024-06-25 16:45:00,202.46,202.499,202.329,202.489,2648.0
2024-06-25 17:00:00,202.486,202.579,202.414,202.429,3516.0
2024-06-25 17:15:00,202.432,202.489,202.386,202.415,3040.0
2024-06-25 17:30:00,202.415,202.509,202.377,202.506,2441.0
2024-06-25 17:45:00,202.508,202.525,202.335,202.355,2944.0
2024-06-25 18:00:00,202.356,202.507,202.347,202.486,2660.0
2024-06-25 18:15:00,202.485,202.516,202.402,202.439,2116.0
2024-06-25 18:30:00,202.439,202.547,202.429,202.443,2181.0
